_id,accomodates,air_conditioning,bathrooms,bed_type,bedrooms,beds,cable_tv,cancellation_policy,carbon_monoxide,checkin_24hr,cleaning_fee,comments,dryer,elevator,essentials,extra_people,family_kid_friendly,first_aid_kit,free_parking,gym,hair_dryer,hangers,heating,host_acceptance_rate,host_picture_url,host_response_rate,id,iron,kitchen,latitude,lock_on_bedroom_door,longtitude,number_of_reviews,pets_allowed,pool,price,property_type,review_scores_rating,room_type,security_deposit,shampoo,smoke_detector,washer,wheelchair_accessible,wireless_internet
60f1a2f4bc9dc8e90a6f29a2,2,0,1,Real Bed,0,1,0,strict,0,0,50,Andrea has a lovely studio and I found her to be a great host. The studio is an a great location. very cozy and clean exactly like the pictures. The communication with Andrea was smooth. Andrea was very helpful. ,0,0,1,0,0,0,0,0,0,0,1,58,https://a2.muscache.com/im/pictures/311c0828-bc8a-42a6-9522-d6d01ad0eefc.jpg?aki_policy=profile_x_medium,100,7553969,0,1,42.35946466,0,-71.0710648,5,0,0,140,Apartment,96,Entire home/apt,1000,1,1,0,0,1
60f1a2f4bc9dc8e90a6f297f,2,0,1,Real Bed,1,1,0,flexible,1,0,10,,1,0,1,0,0,1,0,0,1,1,1,0,https://a1.muscache.com/im/users/17401715/profile_pic/1404052342/original.jpg?aki_policy=profile_x_medium,100,13426831,1,1,42.31362611,1,-71.10819525,0,0,0,100,Condominium,0,Private room,95,1,1,0,0,1
60f1a2f4bc9dc8e90a6f2979,4,1,1,Real Bed,1,2,1,moderate,1,1,85,"Good to stay there for over one month. It located at central of Boston, and Boston common park just next to there. We enjoyed to stay there! ",1,1,1,45,1,1,0,0,1,1,1,99,https://a0.muscache.com/im/users/43959997/profile_pic/1442002533/original.jpg?aki_policy=profile_x_medium,100,8340072,1,1,42.35493354,0,-71.06238747,25,0,0,225,Apartment,90,Entire home/apt,300,1,1,0,0,1
60f1a2f4bc9dc8e90a6f299e,9,1,1,Real Bed,3,5,0,flexible,0,0,75,,1,0,1,0,1,0,1,0,1,1,1,85,https://a0.muscache.com/im/users/963111/profile_pic/1313204510/original.jpg?aki_policy=profile_x_medium,50,14918425,0,1,42.30232768,0,-71.06769753,0,1,0,160,Apartment,0,Entire home/apt,100,1,0,0,0,1
60f1a2f4bc9dc8e90a6f2988,5,1,1.5,Real Bed,2,2,1,strict,1,0,50,"I didn''t get to meet Joel, but he was very helpful in his texts and emails.  The house was lovely, very clean, and in excellent condition.  The beds were super comfortable and the kitchen was great.  This was my 1st experience with an airbnb, and I would highly recommend it.  ",1,0,1,75,1,1,0,0,1,1,1,0,https://a1.muscache.com/im/users/23769200/profile_pic/1416062815/original.jpg?aki_policy=profile_x_medium,0,4585452,1,1,42.33240522,0,-71.05115382,1,1,0,140,House,100,Entire home/apt,200,1,1,1,0,1
60f1a2f4bc9dc8e90a6f2998,2,1,1,Real Bed,1,1,0,strict,0,0,75,"Great host, comfortable bed, location is perfect ",1,1,1,0,0,0,0,1,0,0,1,82,https://a1.muscache.com/im/users/845174/profile_pic/1435894741/original.jpg?aki_policy=profile_x_medium,100,7225201,0,1,42.34787964,0,-71.04965607,1,0,0,170,Loft,80,Private room,250,1,0,1,0,1
60f1a2f4bc9dc8e90a6f2983,4,1,1,Real Bed,2,2,0,flexible,1,0,75,,0,0,1,0,1,0,0,0,0,0,1,100,https://a2.muscache.com/im/pictures/9c3afbb6-d890-45bc-84fb-bd894138fe22.jpg?aki_policy=profile_x_medium,100,13513696,0,1,42.33909994,1,-71.08055574,0,0,0,148,Apartment,0,Entire home/apt,100,1,1,0,0,1
60f1a2f4bc9dc8e90a6f298d,3,1,1,Real Bed,1,1,0,moderate,1,0,25,"Location, location, location!  You can''t do better than half a block from Hanover Street in the heart of Boston''s North End.  This place is ideally located within a short walk of many of Boston''s main sights:  the Freedom Trail, Boston Common, Fanueil Hall etc.  The T is an easy walk away and the lovely paths along the nearby Rose Fitzgerald greenway are spectacular.

Even though it''s centrally located, the place was nice and quiet, just as advertised.  No parking.  Don''t even think about trying to be here with a car.  The pictures and descriptions are extremely accurate:  the bedroom is spacious and lovely and  the kitchen is extremely well outfitted.  The only downside is the teeny living room which is a little spartan.  The bathroom is small too, but my two daughters and I were comfortable staying there.  

Emily was a great host:  very communicative in advance and left a nice packet of suggestions we definitely used.  There was also a fun bowl of candy for guests my daughters appreciated!  She was out of the country while we were there, but the friend she arranged to meet us was quite helpful.

If you want to stay in the heart of the North End this is a great choice.",1,0,1,0,1,0,0,0,1,0,0,100,https://a0.muscache.com/im/users/1231885/profile_pic/1317445792/original.jpg?aki_policy=profile_x_medium,100,13414367,0,1,42.36473524,0,-71.0541282,5,0,0,131,Apartment,92,Entire home/apt,200,0,1,0,0,1
60f1a2f4bc9dc8e90a6f2994,2,1,1.5,Real Bed,1,1,0,flexible,0,0,15,,1,0,1,12,0,0,0,0,1,0,1,25,https://a2.muscache.com/im/users/6104362/profile_pic/1429556900/original.jpg?aki_policy=profile_x_medium,100,14090779,1,1,42.31590728,0,-71.11327328,0,0,0,69,Condominium,0,Private room,95,0,0,0,0,1
60f1a2f4bc9dc8e90a6f2987,3,1,1,Real Bed,1,1,1,moderate,1,0,50,"Alejandra and her place were wonderful!  Everything was exactly as described and her cat Lily was such a lovely house companion!!  I couldn't have asked for a better first time both using this service and staying in Boston.",1,0,1,50,0,1,1,0,0,0,1,0,https://a0.muscache.com/im/users/23785538/profile_pic/1437535982/original.jpg?aki_policy=profile_x_medium,0,4588530,0,1,42.33745064,0,-71.07636722,10,0,0,150,Apartment,100,Entire home/apt,150,1,1,1,0,1
