id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,last_review,review_scores_rating,cancellation_policy
7698631,https://www.airbnb.com/rooms/7698631,N/A,N/A,https://a2.muscache.com/im/pictures/e09da263-c57c-4ffc-bb9b-8fc961b4990b.jpg?aki_policy=profile_x_medium,"Beacon Street, Boston, MA 02116, United States",Back Bay,42.35289906,-71.08224033,Apartment,Entire home/apt,6,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$300.00,$200.00,$75.00,$0.00,4,2016-04-18,100,moderate
7159343,https://www.airbnb.com/rooms/7159343,N/A,N/A,https://a2.muscache.com/im/pictures/cd7e7f1e-1522-4991-a542-c3cd56ad12b0.jpg?aki_policy=profile_x_medium,"Commonwealth Avenue, Boston, MA 02116, United States",Back Bay,42.35005067,-71.08124417,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$200.00,$200.00,$70.00,$50.00,0,,,moderate
14858003,https://www.airbnb.com/rooms/14858003,99%,81%,https://a2.muscache.com/im/pictures/b54817f1-c0bd-49db-9a10-306e9450f146.jpg?aki_policy=profile_x_medium,"Beacon Street, Boston, MA 02115, United States",Back Bay,42.35042731,-71.08662782,Apartment,Entire home/apt,5,1,0,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$275.00,$99.00,$55.00,$40.00,0,,,strict
14723758,https://www.airbnb.com/rooms/14723758,69%,100%,https://a0.muscache.com/im/users/9619490/profile_pic/1382799125/original.jpg?aki_policy=profile_x_medium,"Beacon Street, Boston, MA 02116, United States",Back Bay,42.35255996,-71.08433378,Loft,Entire home/apt,3,1,0,1,Real Bed,"{""Wireless Internet"",Kitchen,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Hair Dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$166.00,,,$0.00,0,,,flexible
8663351,https://www.airbnb.com/rooms/8663351,100%,100%,https://a2.muscache.com/im/pictures/abe87b11-8318-459a-93e1-f4f9622ded52.jpg?aki_policy=profile_x_medium,"Blackwood Streetreet, Boston, MA 02115, United States",Back Bay,42.34378679,-71.08138591,Apartment,Entire home/apt,3,1,0,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",$160.00,,,$15.00,13,2016-08-28,95,strict
14041036,https://www.airbnb.com/rooms/14041036,100%,95%,https://a2.muscache.com/im/pictures/8b197daf-fa70-4e70-a4af-c75aa9c6032e.jpg?aki_policy=profile_x_medium,"Cumberland Street, Boston, MA 02115, United States",Back Bay,42.34314092,-71.08156872,Apartment,Entire home/apt,3,1,0,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$160.00,,$70.00,$25.00,0,,,strict
13729738,https://www.airbnb.com/rooms/13729738,100%,100%,https://a2.muscache.com/im/pictures/2ec78756-dd7c-46e7-bc04-8fa331e13e0a.jpg?aki_policy=profile_x_medium,"Boston, MA, United States",Back Bay,42.3507776,-71.08352721,Apartment,Private room,3,1,1,2,Couch,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",$130.00,$300.00,$100.00,$30.00,0,,,moderate
4603803,https://www.airbnb.com/rooms/4603803,N/A,N/A,https://a0.muscache.com/im/users/1354778/profile_pic/1429706989/original.jpg?aki_policy=profile_x_medium,"Huntington Avenue, Boston, MA 02115, United States",Back Bay,42.34356914,-71.08194892,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher""}",$100.00,,$20.00,$20.00,13,2015-08-17,80,strict
13614982,https://www.airbnb.com/rooms/13614982,90%,100%,https://a2.muscache.com/im/pictures/14865853-720d-4f11-8ef6-0f51f94c1549.jpg?aki_policy=profile_x_medium,"Dartmouth Street, Boston, MA 02116, United States",Back Bay,42.34974875,-71.0785676,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer""}",$225.00,$95.00,$25.00,$25.00,7,2016-09-03,91,strict
4143561,https://www.airbnb.com/rooms/4143561,96%,68%,https://a2.muscache.com/im/users/9419684/profile_pic/1427816343/original.jpg?aki_policy=profile_x_medium,"Garrison Street, Boston, MA 02116, United States",Back Bay,42.34676222,-71.07995066,Apartment,Entire home/apt,5,1.5,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$363.00,,$100.00,$0.00,15,2016-03-24,92,moderate
