id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longtitude,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
10567830,https://www.airbnb.com/rooms/10567830,100,94,https://a1.muscache.com/im/users/1651480/profile_pic/1327511350/original.jpg?aki_policy=profile_x_medium,"West Brookline Street, Boston, MA 02118, United States",South End,42.34176323,-71.07539722,Other,Shared room,1,0,1,1,Real Bed,500,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
9999894,https://www.airbnb.com/rooms/9999894,0,0,https://a2.muscache.com/im/pictures/46f69ce5-cc39-4c75-8013-b3161585a534.jpg?aki_policy=profile_x_medium,"Commonwealth Avenue, Boston, MA 02215, United States",Fenway,42.34867013,-71.09442102,Apartment,Entire home/apt,3,1,0,2,Real Bed,150,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5021859,https://www.airbnb.com/rooms/5021859,100,67,https://a0.muscache.com/im/users/25911903/profile_pic/1420947614/original.jpg?aki_policy=profile_x_medium,"Blackwood Street, Boston, MA 02115, United States",Back Bay,42.34397626,-71.08288061,Apartment,Private room,1,1,1,1,Real Bed,50,0,0,0,0,0,strict,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
8336388,https://www.airbnb.com/rooms/8336388,100,100,https://a2.muscache.com/im/pictures/cbc0a933-6f80-4bf8-8b48-3df5554d85b8.jpg?aki_policy=profile_x_medium,"Commonwealth Avenue, Boston, MA 02135, United States",Brighton,42.34064075,-71.15135645,Apartment,Private room,2,1,1,1,Real Bed,103,100,45,15,0,0,flexible,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
10860611,https://www.airbnb.com/rooms/10860611,100,100,https://a2.muscache.com/im/pictures/ada98c04-fcca-4254-a9cf-ebf978f92ffa.jpg?aki_policy=profile_x_medium,"Hereford Street, Boston, MA 02115, United States",Back Bay,42.35029419,-71.08607153,Apartment,Private room,2,1,1,1,Real Bed,120,0,0,0,1,100,flexible,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Wonderful hosts. Arnaud and his wife were amazing!
14463855,https://www.airbnb.com/rooms/14463855,100,75,https://a2.muscache.com/im/users/5984885/profile_pic/1391792500/original.jpg?aki_policy=profile_x_medium,"Brainerd Road, Boston, MA 02134, United States",Allston,42.34637358,-71.13472997,Apartment,Entire home/apt,4,1,1,1,Real Bed,175,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4627334,https://www.airbnb.com/rooms/4627334,0,0,https://a0.muscache.com/im/users/23718760/profile_pic/1415930694/original.jpg?aki_policy=profile_x_medium,"East 4th Street, Boston, MA 02127, United States",South Boston,42.33528583,-71.03525811,Apartment,Entire home/apt,3,1,1,2,Real Bed,200,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8404805,https://www.airbnb.com/rooms/8404805,99,93,https://a2.muscache.com/im/users/26956083/profile_pic/1422641199/original.jpg?aki_policy=profile_x_medium,"Litchfield Street, Boston, MA 02135, United States",Brighton,42.36068612,-71.14150843,Other,Shared room,1,0,1,1,Couch,225,0,0,0,0,0,strict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9410831,https://www.airbnb.com/rooms/9410831,0,0,https://a2.muscache.com/im/pictures/9b1e5a86-e4ce-4842-a025-4caf53ee2fef.jpg?aki_policy=profile_x_medium,"Adair Road, Boston, MA 02135, United States",Brighton,42.35340079,-71.16644598,House,Private room,1,1,1,1,Real Bed,55,0,0,0,0,0,flexible,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,
10810,https://www.airbnb.com/rooms/10810,100,42,https://a1.muscache.com/im/users/38440/profile_pic/1394206112/original.jpg?aki_policy=profile_x_medium,"Farrington Ave, Boston, MA 02134, United States",Allston,42.35335918,-71.13034354,Apartment,Entire home/apt,5,1,2,4,Real Bed,250,0,0,0,0,0,strict,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
