"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas c 1 2 3 4 5 6",,,,,,
Annual,,,,,,
Table: 35-10-0177-01 (formerly CANSIM 252-0051),,,,,,
Release date: 2020-10-29,,,,,,
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part",,,,,,
,,,,,,
,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
,Customs Act  [6300],0,0.13,0,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.13,0.13,0.13,0,0
,Total Immigration and Refugee Protection Act  [620] 20,1.35,0.8,0.93,1.32,1.7
,Firearms Act  [6550],0,0.13,0.13,0.66,0.91
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],0.67,0.4,0,0.13,0.26
"St.Catharines-Niagara, Ontario [35539] 23 (map)",Total violent Criminal Code violations  [100] 13,559.51,530.44,585.31,674.84,676.15
,Total property crime violations  [200],"2,565.18","2,480.40","2,627.75","2,752.49","2,820.63"
,Total other Criminal Code violations  [300],386.67,468.38,517,570.27,652.57
,Total impaired driving  [910] 14 15,124.34,133.48,130.16,93.14,104.76
,Total other Criminal Code traffic violations  [920] 15,149.03,136.75,104.17,94.2,90.78
,Total drug violations  [401],128.08,106.7,278.58,334.24,261.28
,"Possession, cannabis (pre-legalization)  [4140] 16",46.07,34.84,34.15,9.53,0
,"Possession, cocaine  [4120]",10.36,14.81,10.74,6.99,8.97
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",18.3,13.94,19.98,26.25,32.56
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",14.11,10.67,152.07,205.97,0
,"Total cocaine, trafficking, production or distribution  [430] 17",21.16,17.2,15.46,19.47,14.61
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",18.08,15.24,46.18,56.94,48.62
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0,0
,Total Cannabis Act  [450] 16,..,..,..,9.1,156.52
,Youth Criminal Justice Act  [6450],5.51,5.01,5.15,2.96,2.71
,Total other Federal Statutes  [610],7.94,41.59,27.06,13.12,16.49
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],3.31,23.08,17.61,11.22,9.6
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],2.42,18.07,6.87,0.42,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.22,0,0.21,0,0.21
,Total Immigration and Refugee Protection Act  [620] 20,1.32,0.22,0.86,0.64,5.22
,Firearms Act  [6550],0.44,0.22,0,0.42,0.21
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],0.22,0,1.5,0.42,1.25
"Kitchener-Cambridge-Waterloo, Ontario [35541]",Total violent Criminal Code violations  [100] 13,815.93,848.37,"1,024.42","1,186.05","1,307.89"
,Total property crime violations  [200],"3,115.77","2,969.04","3,192.37","3,403.20","3,254.60"
,Total other Criminal Code violations  [300],686.06,848.92,953.82,914.47,713.06
,Total impaired driving  [910] 14 15,100.35,104.99,99.1,92.31,86.15
,Total other Criminal Code traffic violations  [920] 15,79.32,48.79,62.29,60.04,62.3
,Total drug violations  [401],278.74,284.06,229.16,160.81,91.86
,"Possession, cannabis (pre-legalization)  [4140] 16",160.49,158.29,115.73,67.46,0
,"Possession, cocaine  [4120]",14.94,17.53,16.28,10.35,12.09
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",67.89,77.52,65.83,56.25,57.1
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",10.52,9.03,8.14,5.52,0
,"Total cocaine, trafficking, production or distribution  [430] 17",7.01,5.24,5.49,6.21,5.37
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",17.71,16.44,17.7,13.8,13.6
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0.18,0,0,0,0
,Total Cannabis Act  [450] 16,..,..,..,1.21,3.69
