_id,accomodates,air_conditioning,bathrooms,bed_type,bedrooms,beds,cable_tv,cancellation_policy,carbon_monoxide,checkin_24hr,cleaning_fee,comments,dryer,elevator,essentials,extra_people,family_kid_friendly,first_aid_kit,free_parking,gym,hair_dryer,hangers,heating,host_acceptance_rate,host_picture_url,host_response_rate,id,iron,kitchen,latitude,listing_url,lock_on_bedroom_door,longtitude,neighbourhood_cleansed,number_of_reviews,pets_allowed,pool,price,property_type,review_scores_rating,room_type,security_deposit,shampoo,smoke_detector,street,washer,wheelchair_accessible,wireless_internet
60f9849c30e6339dfd92bd39,5,1,2.5,Real Bed,2,4,1,strict,0,1,250,,1,0,0,0,1,0,0,0,1,1,1,100,https://a0.muscache.com/im/users/2355815/profile_pic/1380478618/original.jpg?aki_policy=profile_x_medium,100,475254,1,1,42.34845572,https://www.airbnb.com/rooms/475254,0,-71.06810029,Bay Village,0,0,0,500,House,0,Entire home/apt,1000,1,0,"Melrose St, Boston, MA 02116, United States",1,0,1
60f9849c30e6339dfd92bd46,3,1,1,Real Bed,1,2,0,strict,1,1,45,,1,1,1,0,1,0,0,0,0,1,1,96,https://a2.muscache.com/im/users/1118374/profile_pic/1315332666/original.jpg?aki_policy=profile_x_medium,100,14586440,0,1,42.35841498,https://www.airbnb.com/rooms/14586440,0,-71.06308213,Beacon Hill,0,0,0,269,Apartment,0,Entire home/apt,199,1,1,"Beacon Street, Boston, MA 02108, United States",1,0,1
60f9849c30e6339dfd92bd4d,2,1,1.5,Real Bed,1,1,0,flexible,0,0,15,,1,0,1,12,0,0,0,0,1,0,1,25,https://a2.muscache.com/im/users/6104362/profile_pic/1429556900/original.jpg?aki_policy=profile_x_medium,100,14090779,1,1,42.31590728,https://www.airbnb.com/rooms/14090779,0,-71.11327328,Jamaica Plain,0,0,0,69,Condominium,0,Private room,95,0,0,"Goldsmith Place, Boston, MA 02130, United States",0,0,1
60f9849c30e6339dfd92bd52,4,1,1,Real Bed,2,2,0,strict,1,1,120,,1,0,1,15,1,0,0,0,1,1,1,100,https://a2.muscache.com/im/pictures/0d987cb1-43f8-466d-9e7e-735922c6ba17.jpg?aki_policy=profile_x_medium,100,14251275,1,1,42.34961171,https://www.airbnb.com/rooms/14251275,0,-71.06062286,Chinatown,0,0,0,209,Apartment,0,Entire home/apt,400,1,1,"Hudson Street, Boston, MA 02111, United States",0,0,1
60f9849c30e6339dfd92bc40,3,1,1,Real Bed,2,2,1,flexible,1,0,0,"Brian was super helpful and hospitable. His apartment was incredibly clean, and had everything you could possibly want available. Similarly, the location of his apartment is exactly where you want to be when staying in the city. Quiet, but close to downtown and a quick trip to Cambridge, Fenway, Back Bay, etc. there''s an AC in the bedroom for hot summer nights and a lovely day bed that looks out onto their patio. All in all it was a really great place to rest our head for a few days.",1,0,1,25,1,1,0,0,1,1,1,100,https://a2.muscache.com/im/pictures/441129a8-e4c5-4aea-a353-b396f84dd4e1.jpg?aki_policy=profile_x_medium,100,13318173,1,1,42.34136957,https://www.airbnb.com/rooms/13318173,1,-71.07886726,South End,7,0,0,275,Apartment,100,Entire home/apt,0,1,1,"Columbus Avenue, Boston, MA 02118, United States",0,0,1
60f9849c30e6339dfd92bc41,2,1,1,Real Bed,1,1,0,moderate,1,0,0,"Great host! Hochiang is very friendly guy and extremely welcoming. The room and flat are great and as advertised. I won't hesitate to return to his place the next time i am in Boston. Highly recommendable. ",1,0,1,10,0,0,0,0,1,1,1,100,https://a2.muscache.com/im/pictures/0c19e2f2-05ad-4c45-b310-1c8a37271545.jpg?aki_policy=profile_x_medium,100,13391024,1,1,42.33317899,https://www.airbnb.com/rooms/13391024,1,-71.10249896,Mission Hill,8,0,0,110,House,98,Private room,0,1,1,"S Whitney St, Boston, MA 02120, United States",1,0,1
60f9849c30e6339dfd92bc43,4,1,2.5,Real Bed,2,2,0,moderate,1,1,0,"Joseph was a wonderful host. He is thoughtful, responsive, and went out of his way to provide a superb stay.  The apt is spacious, clean and located in a prime area of Boston. The kitchen is equipped with everything you may need to cook a fabulous meal. We enjoyed a quiet and restful sleep in the comfy bed. Thank you, Joseph, for making sure everything was seamless. ",1,0,1,0,1,0,1,0,1,0,1,100,https://a2.muscache.com/im/pictures/cf6c2470-5299-4e23-8400-1e7370a887c8.jpg?aki_policy=profile_x_medium,90,13397390,0,1,42.34953235,https://www.airbnb.com/rooms/13397390,1,-71.06944196,Bay Village,1,0,0,500,Townhouse,100,Entire home/apt,0,1,1,"Piedmont Street, Boston, MA 02116, United States",0,0,1
60f9849c30e6339dfd92bc50,3,1,1,Real Bed,0,1,0,strict,1,1,0,"The apartment was exactly as described -- Functional and cozy. The location is in the middle of Boston and close to lots of restaurants, shops, etc. Anthony was pretty communicative and gave me specific instructions for how to check in .",1,1,1,0,1,1,0,0,1,1,1,100,https://a1.muscache.com/im/users/25308015/profile_pic/1428759302/original.jpg?aki_policy=profile_x_medium,100,13589343,1,1,42.35090789,https://www.airbnb.com/rooms/13589343,1,-71.07486203,Back Bay,14,0,0,159,Condominium,91,Entire home/apt,0,1,1,"Beacon Street, Boston, MA 02116, United States",0,0,1
60f9849c30e6339dfd92bc57,2,1,1,Real Bed,1,1,0,flexible,1,0,0,My host was extremely kind and made great accomadations for me. I would recommend this Airbnb to my friends ,1,0,1,0,0,1,0,0,1,1,1,100,https://a2.muscache.com/im/pictures/ed090de6-dfea-402c-a861-4a29028b1637.jpg?aki_policy=profile_x_medium,100,13698137,1,1,42.31784765,https://www.airbnb.com/rooms/13698137,0,-71.10720557,Jamaica Plain,19,0,0,71,House,93,Private room,0,0,1,"Dresden Street, Boston, MA 02130, United States",1,0,1
60f9849c30e6339dfd92bc59,2,1,1,Real Bed,1,1,0,flexible,0,0,0,"Great host, extremely friendly and the location is extremely close to Fenway which was perfect for us. Will be back in Boston and hope to be able to stay at Seif''s place.",1,1,1,25,1,0,1,0,0,0,1,100,https://a2.muscache.com/im/pictures/7f39c715-625e-42b8-9630-03fee192672f.jpg?aki_policy=profile_x_medium,100,13709190,0,1,42.3442775,https://www.airbnb.com/rooms/13709190,0,-71.09506496,Fenway,20,0,0,89,Apartment,79,Private room,0,1,1,"Park Dr, Boston, MA 02215, United States",1,0,1
60f9849c30e6339dfd92bc72,2,1,1,Real Bed,1,1,0,moderate,0,0,0,,1,1,0,0,0,0,1,0,0,0,1,0,https://a1.muscache.com/im/users/14674644/profile_pic/1398348165/original.jpg?aki_policy=profile_x_medium,0,2871079,0,1,42.31945991,https://www.airbnb.com/rooms/2871079,0,-71.0563988,Dorchester,0,0,0,250,Loft,0,Entire home/apt,0,0,0,"Dorchester Avenue, Boston, MA 02125, United States",1,0,1
60f9849c30e6339dfd92bc75,2,1,1,Real Bed,1,1,0,flexible,0,0,0,"Jesse and Tanya were great, but the best host was their dog, Cary Grant! He was sweet, super quiet, and a great hang-out friend. Their place  looks out over the water - ideal for a sunset cocktail after a day exploring the city. It was clean, right next to parks and the last street on the block, so no crazy traffic and easy parking. Will definitely be staying again!!",1,0,1,0,0,0,0,0,0,0,1,100,https://a0.muscache.com/im/users/22088967/profile_pic/1412359390/original.jpg?aki_policy=profile_x_medium,100,14262627,0,1,42.3640692,https://www.airbnb.com/rooms/14262627,0,-71.02896741,East Boston,3,0,0,87,Apartment,100,Private room,0,1,0,"Sumner St, Boston, MA 02128, United States",1,0,1
60f9849c30e6339dfd92bc76,4,1,1,Real Bed,2,2,0,moderate,1,1,0,"Edwin is a great and very considerable host. His place is at a quiet and beautiful neighbourhood. The apartment is super clean, supplied with all essentials. I and my family all enjoyed our stay.",0,0,1,0,1,0,1,0,0,1,1,95,https://a0.muscache.com/im/users/8015347/profile_pic/1375929012/original.jpg?aki_policy=profile_x_medium,100,14303090,1,1,42.27231978,https://www.airbnb.com/rooms/14303090,0,-71.16249813,West Roxbury,3,0,0,155,House,100,Entire home/apt,0,1,1,"Johnson Street, Boston, MA 02132, United States",0,0,1
60f9849c30e6339dfd92bc7c,1,1,1,Real Bed,1,1,0,flexible,1,0,0,"Really nice place, and the host really friendly and kind. Also very attentive and helpfull if you need something.",1,0,1,0,0,1,1,0,0,1,1,100,https://a2.muscache.com/im/pictures/2995a8bd-9d50-4076-bff1-122eb4b0123c.jpg?aki_policy=profile_x_medium,100,14400847,1,1,42.38764352,https://www.airbnb.com/rooms/14400847,0,-71.07964873,Charlestown,2,0,0,80,Condominium,100,Private room,0,1,1,"Austin Street, Somerville, MA 02145, United States",1,0,1
60f9849c30e6339dfd92bc93,3,1,1,Real Bed,1,1,0,moderate,1,0,0,"The location was nice, however the sheets were dirty when we checked in and the person who was responsible for cleaning came in after we arrived, and we had to leave while they cleaned the rest of apartment. We were a little hesitant about sleeping there after that. The apartment was a bit dirty, missing garbage bags and the amenities were lacking (no toothpaste).

The building was nice as well, however the check in process was mechanical. No answers to questions, just a copy + paste statement to any communication. Despite the apartment having some nice, modern features, I would likely would not choose to stay here again.",1,1,1,0,1,0,1,1,1,1,1,99,https://a2.muscache.com/im/users/36981635/profile_pic/1435535431/original.jpg?aki_policy=profile_x_medium,86,14566657,1,1,42.36926547,https://www.airbnb.com/rooms/14566657,0,-71.07202422,West End,1,1,1,180,Apartment,60,Entire home/apt,0,1,1,"Glassworks Avenue, Cambridge, MA 02141, United States",1,0,1
60f9849c30e6339dfd92bc98,4,1,1,Futon,1,2,0,flexible,1,1,0,"This was the perfect place for our two day quick visit. It was easily accessible by public transportation in an up and coming neighborhood with lots of restaurants. Hassan was an accommodating host, though we did not get to meet him. For a great slice of pizza, check out Fast Eddie''s right across the street.",0,0,0,0,1,0,0,0,0,0,1,0,https://a2.muscache.com/im/users/18175186/profile_pic/1405497454/original.jpg?aki_policy=profile_x_medium,0,3606396,0,1,42.34127612,https://www.airbnb.com/rooms/3606396,0,-71.14638193,Brighton,4,0,0,150,Apartment,90,Entire home/apt,0,0,1,"Commonwealth Avenue, Boston, MA 02135, United States",0,0,1
